source_pdf,source_sha256,page,block,line,x0,y0,x1,y1,text
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,1,0,429.0,269.4663391113281,527.5451049804688,276.91241455078125,Intervalle de confiance à 95 % de
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,1,1,429.0,278.4663391113281,452.3418884277344,285.91241455078125,chance.
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,3,0,41.0,77.14959716796875,494.7626953125,95.60478210449219,Liste de sondages sur les élections législatives françaises de 2024
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,4,0,41.0,110.37109375,413.4921875,119.23046875,Cette page dresse la liste des sondages d'opinion en France relatifs aux élections législatives françaises de 2024.
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,5,0,41.0,128.87109375,404.572998046875,137.73046875,"Tous les sondages de cette liste, sauf mention contraire, se conforment aux règles de la Commission des sondages"
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,5,1,414.078125,128.87109375,546.4921875,137.73046875, et appliquent la méthode dite des quotas.
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,6,0,41.0,147.37109375,519.3112182617188,156.23046875,Une couleur arbitraire est associée à chaque institut de sondage ; ces couleurs sont une aide visuelle et ne correspondent pas à une tendance politique.
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,7,0,41.0,200.37109375,414.80072021484375,209.23046875,Les sondages comportent une dimension purement technique. Ils sont publiés accompagnés d'une présentation des
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,7,1,41.0,210.87109375,414.8046875,219.73046875,intervalles de confiance à 95 %. Le tableau résume les intervalles de confiance selon la taille de l'échantillon (ou du
Liste_de_sondages_sur_les_élections_législatives_françaises_de_2024.pdf,8adfcc09cccddeffaff791e61f08f7b5597f26571d668d2ba0afc621a44bc457,1,7,2,41.0,221.37109375,414.8006591796875,230.23046875,sous-échantillon). Si pour un échantillon (sous-échantillon) de 1 000 personnes le candidat reçoit 10 % (ou 90 %)
